timestamp,task_id,stack,image_sha,total_ms,host_gitnexus_prewarm_ms,host_pull_ms,host_clone_ms,host_wait_ms,worker_install_ms,worker_cli_ms,worker_gates_ms,worker_push_ms
2026-05-22T15:03:14.512Z,T5,node-ts,ghcr.io/nmunozsi/arandano-worker:latest,954901,0,1336,519,952528,64200,601840,281562,2041
2026-05-22T15:03:14.508Z,T4,node-ts,ghcr.io/nmunozsi/arandano-worker:latest,1057110,0,1345,518,1054772,64482,686578,299391,1417
